         1104 function calls (1083 primitive calls) in 0.007 seconds

   Ordered by: cumulative time
   List reduced from 177 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 /home/grzegorz-lesniowski/cloud/billboard-splitter/benchmark.py:97(profiled_task)
        1    0.000    0.000    0.004    0.004 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:32(__init__)
        1    0.000    0.000    0.003    0.003 /home/grzegorz-lesniowski/cloud/billboard-splitter/config.py:114(load_settings)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.12/json/__init__.py:274(load)
        1    0.000    0.000    0.003    0.003 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:65(setup_logging)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.12/json/__init__.py:299(loads)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.12/json/decoder.py:332(decode)
        1    0.003    0.003    0.003    0.003 /usr/lib/python3.12/json/decoder.py:343(raw_decode)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.12/logging/__init__.py:1660(_log)
      6/3    0.000    0.000    0.001    0.000 <frozen os>:200(makedirs)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.12/logging/__init__.py:1529(info)
        6    0.001    0.000    0.001    0.000 {built-in method posix.mkdir}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.12/logging/__init__.py:1686(handle)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.12/logging/__init__.py:1746(callHandlers)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.12/logging/__init__.py:1011(handle)
        2    0.000    0.000    0.001    0.000 /home/grzegorz-lesniowski/cloud/billboard-splitter/benchmark.py:51(run_test_scenario)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/logging/handlers.py:210(__init__)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.12/logging/__init__.py:1148(emit)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/re/__init__.py:226(compile)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/re/__init__.py:280(_compile)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/re/_compiler.py:740(compile)
        1    0.000    0.000    0.000    0.000 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:126(update_graphic_settings)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:988(format)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/handlers.py:65(emit)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:690(format)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1266(emit)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1517(debug)
       15    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
       22    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:969(parse)
       16    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1645(makeRecord)
      3/1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:573(_code)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:298(__init__)
      3/1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1137(flush)
      6/1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/handlers.py:54(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1206(__init__)


