         12261230 function calls (12022925 primitive calls) in 12.784 seconds

   Ordered by: cumulative time
   List reduced from 1057 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.791   12.791 /home/grzegorz-lesniowski/cloud/billboard-splitter/benchmark.py:97(profiled_task)
        2    0.000    0.000   12.783    6.391 /home/grzegorz-lesniowski/cloud/billboard-splitter/benchmark.py:51(run_test_scenario)
        6    0.000    0.000   12.777    2.130 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:261(split)
        6    0.005    0.001   12.771    2.129 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:294(_process_billboard)
       36    0.002    0.000   11.783    0.327 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:221(_apply_pypdf_overlay)
       33    0.017    0.001   11.373    0.345 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:1319(_draw_all_barcodes)
       60    0.022    0.000   11.346    0.189 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:1418(draw_barcode)
       60    0.005    0.000    7.958    0.133 /home/grzegorz-lesniowski/cloud/billboard-splitter/.venv/lib/python3.12/site-packages/svglib/svglib.py:1394(svg2rlg)
       60    0.039    0.001    7.911    0.132 /home/grzegorz-lesniowski/cloud/billboard-splitter/.venv/lib/python3.12/site-packages/svglib/svglib.py:504(render)
       60    0.030    0.001    7.858    0.131 /home/grzegorz-lesniowski/cloud/billboard-splitter/.venv/lib/python3.12/site-packages/svglib/svglib.py:775(renderSvg)
    13780    0.129    0.000    7.490    0.001 /home/grzegorz-lesniowski/cloud/billboard-splitter/.venv/lib/python3.12/site-packages/svglib/svglib.py:523(renderNode)
    13720    0.106    0.000    6.818    0.000 /home/grzegorz-lesniowski/cloud/billboard-splitter/.venv/lib/python3.12/site-packages/svglib/svglib.py:898(convertShape)
        3    0.003    0.001    6.279    2.093 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:977(_assemble_common_sheet)
        3    0.003    0.001    5.892    1.964 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:1061(_assemble_separate_files)
        3    0.000    0.000    5.847    1.949 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:1048(<lambda>)
       30    0.000    0.000    5.526    0.184 /home/grzegorz-lesniowski/cloud/billboard-splitter/splitter.py:1104(<lambda>)
    13720    0.779    0.000    4.598    0.000 /home/grzegorz-lesniowski/cloud/billboard-splitter/.venv/lib/python3.12/site-packages/svglib/svglib.py:1310(applyStyleOnShape)
