         517466 function calls (512094 primitive calls) in 0.679 seconds

   Ordered by: cumulative time
   List reduced from 1002 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.679    0.679 /app/benchmark.py:36(profiled_task)
        3    0.001    0.000    0.675    0.225 /app/splitter.py:329(split)
        3    0.002    0.001    0.438    0.146 /app/splitter.py:372(_assemble_separate_files_fitz)
       30    0.001    0.000    0.325    0.011 /app/splitter.py:254(_draw_barcode_fitz)
       30    0.000    0.000    0.266    0.009 /app/barcode_qr.py:11(generate_barcode_in_memory)
       30    0.001    0.000    0.229    0.008 /app/splitter.py:302(_create_complete_slice_doc)
       30    0.000    0.000    0.195    0.007 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/qrcode/main.py:25(make)
       30    0.005    0.000    0.192    0.006 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/qrcode/main.py:342(make_image)
       30    0.000    0.000    0.153    0.005 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/qrcode/main.py:151(make)
       30    0.000    0.000    0.139    0.005 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/qrcode/main.py:241(best_mask_pattern)
       30    0.000    0.000    0.130    0.004 /app/splitter.py:171(_draw_registration_marks_custom_grid_fitz)
      108    0.002    0.000    0.113    0.001 /app/splitter.py:157(_draw_registration_mark_fitz)
       60    0.002    0.000    0.088    0.001 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/pymupdf/utils.py:106(show_pdf_page)
      270    0.002    0.000    0.077    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/qrcode/main.py:165(makeImpl)
      432    0.005    0.000    0.069    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/pymupdf/utils.py:3242(draw_line)
      240    0.001    0.000    0.068    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/qrcode/util.py:188(lost_point)
       30    0.000    0.000    0.063    0.002 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/qrcode/image/pil.py:50(save)
       30    0.001    0.000    0.063    0.002 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/PIL/Image.py:2469(save)
       30    0.001    0.000    0.054    0.002 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/pymupdf/utils.py:277(insert_image)
      270    0.035    0.000    0.050    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/qrcode/main.py:473(map_data)
     24/6    0.000    0.000    0.044    0.007 <frozen importlib._bootstrap>:1349(_find_and_load)
     24/6    0.000    0.000    0.044    0.007 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    47/36    0.000    0.000    0.043    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     65/7    0.000    0.000    0.043    0.006 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       30    0.000    0.000    0.043    0.001 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/PIL/Image.py:338(preinit)
     15/5    0.000    0.000    0.043    0.009 {built-in method builtins.__import__}
     23/6    0.000    0.000    0.042    0.007 <frozen importlib._bootstrap>:911(_load_unlocked)
      138    0.001    0.000    0.042    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/pymupdf/utils.py:4143(commit)
     19/6    0.000    0.000    0.042    0.007 <frozen importlib._bootstrap_external>:993(exec_module)
       30    0.001    0.000    0.036    0.001 /app/splitter.py:215(_draw_white_stripes_fitz)
